ID,PASAL,AYAT,ISI,ISI1,ISI2,ISI3,ISI4,ISI5,ISI6,ISI7,ISI8,ISI9
1,1,1,"1. Perdagangan Antarpulau adalah kegiatan perdagangan dan/atau pendistribusian barang dari satu pulau ke pulau lain dalam satu provinsi atau antarprovinsi, atau antardaerah dalam satu pulau yang dilakukan oleh Pelaku Usahadengan cara menyeberangkan barang dimaksud dengan menggunakan sarana angkutan laut atau sungai."," "," "," "," "," "," "," "," "," "
2,1,2,"2. Pelaku Usaha adalah setiap orang perseorangan warga negara Indonesia atau badan usaha yang berbentuk badan hukum atau bukan badan hukum yang didirikan dan berkedudukan dalam wilayah hukum Negara Kesatuan Republik Indonesia yang melakukan kegiatan usaha di bidang perdagangan."," "," "," "," "," "," "," "," "," "
3,1,3,"3. Pemilik Muatan (Cargo Owner) Antarpulau adalah Pelaku Usaha yang yang memiliki muatan yang akan diperdagangkan antarpulau."," "," "," "," "," "," "," "," "," "
4,1,4,"4. Perusahaan Jasa Pengurusan Transportasi yang selanjutnya disingkatPJPT adalah badan usaha yang melakukan kegiatan mengurus semua kegiatan yang diperlukan bagi terlaksananya pengiriman dan penerimaan barang melalui angkutan laut."," "," "," "," "," "," "," "," "," "
5,1,5,"5. Barang Kebutuhan Pokok adalah barang yang menyangkut hajat hidup orang banyak dengan skala pemenuhan kebutuhan yang tinggi serta menjadi faktor pendukung kesejahteraan masyarakat."," "," "," "," "," "," "," "," "," "
6,1,6,"6. Barang Penting adalah barang strategis yang berperan penting dalam menentukan kelancaran pembangunan nasional."," "," "," "," "," "," "," "," "," "
7,1,7,"7. Daftar Muatan (Manifes Domestik) Antarpulau adalah dokumen yang berisi data dan/atau informasi terkait Perdagangan Antarpulau."," "," "," "," "," "," "," "," "," "
8,1,8,"8. Sistem Informasi Perizinan Terpadu yang selanjutnya disingkat SIPT adalah sistem pelayanan perizinan perdagangan dalam negeri pada Kementerian Perdagangan yang dilakukan secara daring melalui situs web  http://sipt. kemendaq. go. id"
9,1,9,"9. Sistem Indonesia National Single Windowyang selanjutnya disingkat SINSW adalah sistem elektronik yang mengintegrasikan sistem dan/atau informasi berkaitan dengan proses penanganan dokumen kepabeanan, dokumen kekarantinaan, dokumen perizinan, dokumen kepelabuhanan, kebandarudaraan, dan dokumen lain, yang terkait dengan ekspor dan/atau impor, yang menjamin keamanan data dan informasi serta memadukan alur dan proses informasi antar sistem internal secara otomatis."," "," "," "," "," "," "," "," "," "
10,1,10,"10. Lembaga National Single Window adalah unit yang bertugas melaksanakan pengelolaan Indonesia National Single Window dan penyelenggaraan SINSW dalam penanganan dokumen kepabeanan, dokumen kekarantinaan, dokumen perizinan, dokumen kepelabuhanan/kebandarudaraan, dan dokumen lain, yang terkait dengan ekspor dan/atau impor secara elektronik."," "," "," "," "," "," "," "," "," "
11,1,11,"11. Lembaga Pengelola dan Penyelenggara OSS yang selanjutnya disebut Lembaga OSS adalah lembaga pemerintah non kementerian yang menyelenggarakan urusan pemerintahan di bidang koordinasi penanaman modal."," "," "," "," "," "," "," "," "," "
