ID,Glosary,Dasar,ISI
1,Barang,Permendag 18 th 2018,"Barang adalah setiap benda baik berwujud maupun tidak berwujud, baik bergerak maupun tidak bergerak, baik dapat dihabiskan maupun tidak dapat dihabiskan, dan dapat diperdagangkan, dipakai, digunakan, atau dimanfaatkan oleh konsumen atau Pelaku Usaha."
2,Keamanan,Permendag 18 th 2018,"Keamanan adalah keadaan aman, kondisi yang terlindungi secara fisik dan spiritual, atau berbagai akibat sebuah kerusakan, kecelakaan, atau berbagai keadaan yang tidak diinginkan."
3,Keselamatan,Permendag 18 th 2018,"Keselamatan adalah keadaan terbebas atau terhindar dari bahaya, malapetaka, bencana, tidak mendapat gangguan dan kerusakan."
4,Kesehatan,Permendag 18 th 2018,"Kesehatan adalah keadaan sehat, baik secara fisik, mental, spiritual maupun sosial yang memungkinkan setiap orang untuk hidup produktif secara sosial dan ekonomis."
5,Lingkungan Hidup,Permendag 18 th 2018,"Lingkungan Hidup adalah kesatuan ruang dengan semua benda, daya, keadaan, dan makhluk hidup, termasuk manusia dan perilakunya, yang mempengaruhi alam itu sendiri, kelangsungan perikehidupan, dan kesejahteraan manusia dan makhluk hidup lainnya"
6,Hasil Uji Laboratorium,Permendag 18 th 2018,"Hasil Uji Laboratorium adalah dokumen yang diterbitkan oleh laboratorium penguji Barang terkait Keamanan, Keselamatan, Kesehatan, dan Lingkungan Hidup memenuhi atau tidak memenuhi persyaratan teknis yang ditetapkan."
7,Impor,Permendag 18 th 2018,"Impor adalah kegiatan memasukkan Barang ke dalam Daerah Pabean."
8,Importir,Permendag 18 th 2018," Importir adalah orang perseorangan atau lembaga atau badan usaha, baik yang berbentuk badan hukum maupun bukan badan hukum, yang melakukan Impor."
9,Produsen,Permendag 18 th 2018,"Produsen adalah perusahaan yang memproduksi produk dalam negeri."
10,Konsumen,Permendag 18 th 2018,"Konsumen adalah setiap orang pemakai Barang dan/atau jasa yang tersedia dalam masyarakat, baik bagi kepentingan din sendiri, keluarga, orang lain, maupun makhluk hidup lain dan tidak untuk diperdagangkan."
11,Registrasi K3L,Permendag 18 th 2018,"Registrasi Produk Barang terkait Keamanan, Keselamatan, Kesehatan, dan Lingkungan Hidup asal Dalam Negeri dan Luar Negeri yang selanjutnya disebut Registrasi Barang K3L adalah dokumen identitas yang diberikan terhadap Barang terkait Keamanan, Keselamatan, Kesehatan, dan Lingkungan Hidup yang telah didaftarkan."
12,Label,Permendag 18 th 2018,"Label adalah setiap keterangan mengenai produk yang berbentuk gambar, tulisan, atau kombinasi keduanya atau bentuk lain yang memuat informasi tentang Barang dan keterangan pelaku usaha serta informasi lainnya sesuai dengan peraturan perundangundangan yang berlaku yang disertakan pada produk, dimasukkan ke dalam, ditempatkan pada, atau merupakan bagian kemasan Barang."
